bulletType,layers,V50,Sharp,FSP,V50Csq
1,2,213.1,0,0,4.541161
1,6,295.4,0,0,8.726116
1,13,410.8,0,0,16.875664
1,19,421.8,0,0,17.791524
1,25,520,0,0,27.04
1,30,534.9,0,0,28.611801
1,35,571.1,0,0,32.615521
1,40,618.4,0,0,38.241856
2,2,266.1,1,0,7.080921
2,6,328.9,1,0,10.817521
2,13,406.3,1,0,16.507969
2,19,469.7,1,0,22.061809
2,25,550.5,1,0,30.305025
2,30,597.7,1,0,35.724529
2,35,620,1,0,38.44
2,40,671.5,1,0,45.091225
3,2,236.8,0,1,5.607424
3,5,306.6,0,1,9.400356
3,10,391.4,0,1,15.319396
3,15,435.6,0,1,18.974736
3,20,484.9,0,1,23.512801
3,25,524.6,0,1,27.520516
3,30,587.7,0,1,34.539129
3,35,617.5,0,1,38.130625
3,40,669,0,1,44.7561
