Date,Day,HighTemp ,LowTemp ,Precipitation,BrooklynBridge,Total
7/1,Saturday,84.9,72,0.23,"1848","11867"
7/2,Sunday,87.1,73,0.00,"2467","13995"
7/3,Monday,87.1,71.1,0.45,"2714","16067"
7/4,Tuesday,82.9,70,0.00,"2296","13925"
7/5,Wednesday,84.9,71.1,0.00,"3170","23110"
7/6,Thursday,75.0,71.1,0.00,"3065","21861"
7/7,Friday,79.0,68,1.78,"1513","12805"
7/8,Saturday,82.9,70,0.00,"2718","17258"
7/9,Sunday,81.0,69.1,0.00,"3048","18320"
7/10,Monday,82.9,71.1,0.00,"3506","24827"
7/11,Tuesday,84.0,75,0.00,"2929","21743"
7/12,Wednesday,87.1,77,0.00,"2860","21174"
7/13,Thursday,89.1,77,0.00,"2563","18290"
7/14,Friday,69.1,64.9,0.35,907,"8210"
7/15,Saturday,82.9,68,0.00,"2853","17259"
7/16,Sunday,84.9,70,0.00,"2917","17539"
7/17,Monday,84.9,73.9,0.00,"3264","23837"
7/18,Tuesday,87.1,75.9,0.00,"3507","25038"
7/19,Wednesday,91.0,77,0.00,"3114","22847"
7/20,Thursday,93.0,78.1,0.01,"2840","20405"
7/21,Friday,91.0,77,0.00,"2751","19773"
7/22,Saturday,91.0,78.1,0.57,"2301","14422"
7/23,Sunday,78.1,73,0.06,"2321","13297"
7/24,Monday,69.1,63,0.74,"1576","11862"
7/25,Tuesday,71.1,64,0.00,"3191","23586"
7/26,Wednesday,75.9,66,0.00,"3821","26969"
7/27,Thursday,77.0,66.9,0.00,"3287","23129"
7/28,Friday,84.9,73,0.00,"3123","21741"
7/29,Saturday,75.9,68,0.00,"2074","14814"
7/30,Sunday,81.0,64.9,0.00,"3331","18696"
7/31,Monday,88.0,66.9,0.00,"3560","24284"
